submission_date,state,tot_cases,tot_death
2022/01/13,ME,159498,1644
2022/01/13,TX,5297814,75650
2022/01/13,TN,1597002,21302
2022/01/13,OK,796987,11740
2022/01/13,UT,739206,3943
2022/01/13,KY,962007,12484
2022/01/13,VT,77375,465
2022/01/13,ND,192239,2046
2022/01/13,MI,1958496,30522
2022/01/13,VA,1351430,15804
2022/01/13,NM,393736,6109
2022/01/13,MS,625328,10606
2022/01/13,NV,565911,8606
2022/01/13,RI,296304,3163
2022/01/13,OH,2266236,30435
2022/01/13,KS,601859,7141
2022/01/13,WA,1025322,10143
2022/01/13,MN,1126697,11079
2022/01/13,GA,2093376,31875
2022/01/13,WY,124986,1588
2022/01/13,MD,881922,12551
2022/01/13,SC,1129096,14881
2022/01/13,HI,152811,1103
2022/01/13,NE,383915,3540
2022/01/13,NH,233508,2051
2022/01/13,WV,372674,5503
2022/01/13,NC,1975543,19850
2022/01/13,LA,982465,15127
2022/01/13,DE,218486,2380
2022/01/13,CO,1089494,10582
2022/01/13,ID,336424,4263
2022/01/13,CT,628789,9442
2022/01/12,OR,494945,5845
2022/01/12,OH,2246974,30435
2022/01/12,GA,2069066,31801
2022/01/12,NH,229373,2032
2022/01/12,ME,158087,1626
2022/01/12,NE,376695,3527
2022/01/12,KS,601859,7141
2022/01/12,WI,1252891,11559
2022/01/12,IL,2522953,32187
2022/01/12,TN,1580605,21235
2022/01/12,ID,334086,4260
2022/01/12,WY,123743,1588
2022/01/12,NM,388215,6073
2022/01/12,RI,291460,3157
2022/01/12,MS,616972,10589
2022/01/12,OK,785760,11740
2022/01/12,UT,726216,3936
2022/01/12,MA,1389904,20835
2022/01/12,KY,952956,12455
2022/01/12,CA,6502320,76683
2022/01/12,CT,619185,9442
2022/01/12,IA,631301,8201
2022/01/12,WV,367217,5481
2022/01/12,NV,558529,8584
2022/01/12,VA,1334212,15787
2022/01/12,MD,871936,12480
2022/01/12,AL,1019142,16681
2022/01/12,AK,167008,953
2022/01/12,WA,1009187,10103
2022/01/12,PA,2348276,38103
2022/01/12,NC,1930710,19763
2022/01/12,HI,149460,1099
2022/01/12,ND,189426,2043
2022/01/12,LA,967533,15116
2022/01/12,MO,1135862,16576
2022/01/12,MT,208132,2933
2022/01/12,DE,213993,2377
2022/01/12,AZ,1524363,24992
2022/01/12,SD,197912,2534
2022/01/12,TX,5223323,75533
2022/01/12,AR,640799,9372
2022/01/12,MN,1115198,11027
2022/01/12,NY,2293705,24414
2022/01/12,CO,1075115,10552
2022/01/12,NJ,1915417,29737
2022/01/12,IN,1393574,20035
2022/01/12,SC,1114332,14849
2022/01/12,FL,4933518,63081
2022/01/12,MI,1940708,30412
2022/01/12,VT,75482,465
2022/01/11,WA,991838,10026
2022/01/11,IA,626336,8201
2022/01/11,AZ,1505580,24986
2022/01/11,NH,226132,2032
2022/01/11,KY,941986,12434
2022/01/11,TN,1563324,21189
2022/01/11,RI,286503,3150
2022/01/11,UT,715996,3922
2022/01/11,WV,362777,5452
2022/01/11,VT,74743,465
2022/01/11,SD,195204,2528
2022/01/11,IL,2488380,32028
2022/01/11,VA,1315267,15750
2022/01/11,NM,381295,6045
2022/01/11,SC,1102603,14804
2022/01/11,OH,2226881,30435
2022/01/11,NC,1905265,19706
2022/01/11,MN,1104494,10978
2022/01/11,NJ,1892142,29634
2022/01/11,ND,186748,2041
2022/01/11,CA,6400010,76564
2022/01/11,OR,486202,5814
2022/01/11,WY,122754,1588
2022/01/11,OK,775169,11740
2022/01/11,CT,611867,9435
2022/01/11,ME,156533,1623
2022/01/11,AK,162626,948
